id,Prediction Consistency,Hallucination Persistence,Market Interpretation Accuracy,User-Friendliness,Knowledge Utilization
152,85,90,80,75,88
537,85,90,80,75,88
583,70,85,75,80,78
787,85,90,80,75,85
1036,70,85,75,80,78
1055,85,90,80,75,88
1115,85,90,80,75,85
1349,60,70,75,80,85
1396,85,90,80,75,80
1469,75,85,80,90,85
1558,85,90,80,75,88
1810,85,90,80,75,85
1911,70,85,75,80,78
2045,70,85,75,80,78
2310,85,90,80,75,80
2341,85,90,80,75,80
2567,70,85,75,80,78
2664,70,85,75,80,80
2703,70,85,75,80,78
2738,85,90,80,75,88
3184,85,90,80,75,85
3193,70,85,75,80,78
3308,85,90,80,75,88
3382,70,85,75,80,78
3593,70,85,75,80,78
3843,85,90,80,75,88
4010,85,90,80,75,85
4378,85,90,80,75,88
4480,70,85,75,80,78
4871,70,85,75,80,78
5162,70,85,75,80,78
5270,85,90,80,75,85
5568,85,90,80,75,80
5943,85,90,80,75,85
5977,70,85,75,80,78
6048,60,80,70,75,65
6260,85,90,80,75,85
6556,60,70,75,80,85
6739,70,85,75,80,78
6896,70,85,75,80,78
7123,70,85,75,80,78
7202,75,85,80,90,85
7443,85,90,80,75,88
7474,60,85,75,80,70
7542,70,85,75,80,78
7636,85,90,80,75,88
7657,60,80,70,75,65
7751,70,85,75,80,78
7941,70,85,75,80,78
8104,75,85,80,90,85
8123,85,90,80,75,85
8333,70,85,75,80,78
8472,85,90,80,75,88
8483,75,85,80,90,85
8586,70,85,75,80,78
